target_Mbp	mean_coverage	scalingfactor
0.04	200	1.1
0.04	500	1.1
0.04	1000	1.1
0.04	2000	1.1
0.2	200	1.2
0.2	500	1.1
0.2	1000	1.1
0.2	2000	1.2
0.4	200	1.2
0.4	500	1.1
0.4	1000	1.1
0.4	2000	1.2
1.1	200	1.2
1.1	500	1.1
1.1	1000	1.1
1.1	2000	1.2
2.1	200	1.2
2.1	500	1.1
2.1	1000	1.1
2.1	2000	1.1
4.4	200	1.4
4.4	500	1.1
4.4	1000	1.2
4.4	2000	1.1
8.9	200	2.2
8.9	500	1.2
8.9	1000	1.3
8.9	2000	1.2
17.7	200	2.2
17.7	500	1.3
17.7	1000	1.4
17.7	2000	1.3
26.6	200	2.2
26.6	500	1.5
26.6	1000	1.4
26.6	2000	1.3
36	200	2.2
36	500	2.2
36	1000	1.4
36	2000	1.4
