ploidy,log2shift
1.8,0.152
1.81,0.144
1.82,0.136
1.83,0.128
1.84,0.12
1.85,0.112
1.86,0.105
1.87,0.097
1.88,0.089
1.89,0.082
1.9,0.074
1.91,0.066
1.92,0.059
1.93,0.051
1.94,0.044
1.95,0.037
1.96,0.029
1.97,0.022
1.98,0.014
1.99,0.007
2,0
2.01,-0.007
2.02,-0.014
2.03,-0.021
2.04,-0.029
2.05,-0.036
2.06,-0.043
2.07,-0.05
2.08,-0.057
2.09,-0.064
2.1,-0.07
2.11,-0.077
2.12,-0.084
2.13,-0.091
2.14,-0.098
2.15,-0.104
2.16,-0.111
2.17,-0.118
2.18,-0.124
2.19,-0.131
2.2,-0.138
2.21,-0.144
2.22,-0.151
2.23,-0.157
2.24,-0.163
2.25,-0.17
2.26,-0.176
2.27,-0.183
2.28,-0.189
2.29,-0.195
2.3,-0.202
2.31,-0.208
2.32,-0.214
2.33,-0.22
2.34,-0.227
2.35,-0.233
2.36,-0.239
2.37,-0.245
2.38,-0.251
2.39,-0.257
2.4,-0.263
2.41,-0.269
2.42,-0.275
2.43,-0.281
2.44,-0.287
2.45,-0.293
2.46,-0.299
2.47,-0.305
2.48,-0.31
2.49,-0.316
2.5,-0.322
2.51,-0.328
2.52,-0.333
2.53,-0.339
2.54,-0.345
2.55,-0.35
2.56,-0.356
2.57,-0.362
2.58,-0.367
2.59,-0.373
2.6,-0.379
2.61,-0.384
2.62,-0.39
2.63,-0.395
2.64,-0.401
2.65,-0.406
2.66,-0.411
2.67,-0.417
2.68,-0.422
2.69,-0.428
2.7,-0.433
2.71,-0.438
2.72,-0.444
2.73,-0.449
2.74,-0.454
2.75,-0.459
2.76,-0.465
2.77,-0.47
2.78,-0.475
2.79,-0.48
2.8,-0.485
2.81,-0.491
2.82,-0.496
2.83,-0.501
2.84,-0.506
2.85,-0.511
2.86,-0.516
2.87,-0.521
2.88,-0.526
2.89,-0.531
2.9,-0.536
2.91,-0.541
2.92,-0.546
2.93,-0.551
2.94,-0.556
2.95,-0.561
2.96,-0.566
2.97,-0.57
2.98,-0.575
2.99,-0.58
3,-0.585
3.01,-0.59
3.02,-0.595
3.03,-0.599
3.04,-0.604
3.05,-0.609
3.06,-0.614
3.07,-0.618
3.08,-0.623
3.09,-0.628
3.1,-0.632
3.11,-0.637
3.12,-0.642
3.13,-0.646
3.14,-0.651
3.15,-0.655
3.16,-0.66
3.17,-0.664
3.18,-0.669
3.19,-0.674
3.2,-0.678
3.21,-0.683
3.22,-0.687
3.23,-0.692
3.24,-0.696
3.25,-0.7
3.26,-0.705
3.27,-0.709
3.28,-0.714
3.29,-0.718
3.3,-0.722
3.31,-0.727
3.32,-0.731
3.33,-0.736
3.34,-0.74
3.35,-0.744
3.36,-0.748
3.37,-0.753
3.38,-0.757
3.39,-0.761
3.4,-0.766
3.41,-0.77
3.42,-0.774
3.43,-0.778
3.44,-0.782
3.45,-0.787
3.46,-0.791
3.47,-0.795
3.48,-0.799
3.49,-0.803
3.5,-0.807
3.51,-0.811
3.52,-0.816
3.53,-0.82
3.54,-0.824
3.55,-0.828
3.56,-0.832
3.57,-0.836
3.58,-0.84
3.59,-0.844
3.6,-0.848
3.61,-0.852
3.62,-0.856
3.63,-0.86
3.64,-0.864
3.65,-0.868
3.66,-0.872
3.67,-0.876
3.68,-0.88
3.69,-0.884
3.7,-0.888
3.71,-0.891
3.72,-0.895
3.73,-0.899
3.74,-0.903
3.75,-0.907
3.76,-0.911
3.77,-0.915
3.78,-0.918
3.79,-0.922
3.8,-0.926
3.81,-0.93
3.82,-0.934
3.83,-0.937
3.84,-0.941
3.85,-0.945
3.86,-0.949
3.87,-0.952
3.88,-0.956
3.89,-0.96
3.9,-0.963
3.91,-0.967
3.92,-0.971
3.93,-0.975
3.94,-0.978
3.95,-0.982
3.96,-0.986
3.97,-0.989
3.98,-0.993
3.99,-0.996
4,-1
4.01,-1.004
4.02,-1.007
4.03,-1.011
4.04,-1.014
4.05,-1.018
4.06,-1.021
4.07,-1.025
4.08,-1.029
4.09,-1.032
4.1,-1.036
4.11,-1.039
4.12,-1.043
4.13,-1.046
4.14,-1.05
4.15,-1.053
4.16,-1.057
4.17,-1.06
4.18,-1.064
4.19,-1.067
4.2,-1.07
4.21,-1.074
4.22,-1.077
4.23,-1.081
4.24,-1.084
4.25,-1.087
4.26,-1.091
4.27,-1.094
4.28,-1.098
4.29,-1.101
4.3,-1.104
4.31,-1.108
4.32,-1.111
4.33,-1.114
4.34,-1.118
4.35,-1.121
4.36,-1.124
4.37,-1.128
4.38,-1.131
4.39,-1.134
4.4,-1.138
4.41,-1.141
4.42,-1.144
4.43,-1.147
4.44,-1.151
4.45,-1.154
4.46,-1.157
4.47,-1.16
4.48,-1.163
4.49,-1.167
4.5,-1.17
4.51,-1.173
4.52,-1.176
4.53,-1.18
4.54,-1.183
4.55,-1.186
4.56,-1.189
4.57,-1.192
4.58,-1.195
4.59,-1.198
4.6,-1.202
4.61,-1.205
4.62,-1.208
4.63,-1.211
4.64,-1.214
4.65,-1.217
4.66,-1.22
4.67,-1.223
4.68,-1.227
4.69,-1.23
4.7,-1.233
4.71,-1.236
4.72,-1.239
4.73,-1.242
4.74,-1.245
4.75,-1.248
4.76,-1.251
4.77,-1.254
4.78,-1.257
4.79,-1.26
4.8,-1.263
4.81,-1.266
