chr	start	end	HUGO	cyto	arm	strand	entrezgene	chr_cyto	arm_chr
9	130713946	130887675	ABL1	q34.12	9q	1	25	9q34.12	chr9q
2	99545419	100142739	AFF3	q11.2	2q	-1	3899	2q11.2	chr2q
5	132875379	132963634	AFF4	q31.1	5q	-1	27125	5q31.1	chr5q
2	29192774	29921566	ALK	p23.1	2p	-1	238	2p23.1	chr2p
1	150809705	150876768	ARNT	q21.3	1q	-1	405	1q21.3	chr1q
2	60451167	60553567	BCL11A	p16.1	2p	-1	53335	2p16.1	chr2p
14	99169287	99271524	BCL11B	q32.2	14q	-1	64919	14q32.2	chr14q
1	147541412	147626216	BCL9	q21.2	1q	1	607	1q21.2	chr1q
11	102317450	102339403	BIRC3	q22.2	11q	1	330	11q22.2	chr11q
7	140719327	140924764	BRAF	q34	7q	-1	673	7q34	chr7q
19	15235519	15332545	BRD4	p13.12	19p	-1	23476	19p13.12	chr19p
7	2906141	3043945	CARD11	p22.2	7p	-1	84433	7p22.2	chr7p
11	69641087	69654474	CCND1	q13.3	11q	1	595	11q13.3	chr11q
12	4273772	4305350	CCND2	p13.32	12p	1	894	12p13.32	chr12p
19	41877120	41881372	CD79A	q13.2	19q	1	973	19q13.2	chr19q
17	63928740	63932354	CD79B	q23.3	17q	-1	974	17q23.3	chr17q
12	57747727	57756013	CDK4	q14.1	12q	-1	1019	12q14.1	chr12q
7	92604921	92836594	CDK6	q21.2	7q	-1	1021	7q21.2	chr7q
19	42268537	42295797	CIC	q13.2	19q	1	23152	19q13.2	chr19q
7	137874979	138002067	CREB3L2	q33	7q	-1	64764	7q33	chr7q
16	3725054	3880726	CREBBP	p13.3	16p	-1	1387	16p13.3	chr16p
19	18683677	18782333	CRTC1	p13.11	19p	1	23373	19p13.11	chr19p
12	57516588	57520517	DDIT3	q13.3	12q	-1	1649	12q13.3	chr12q
17	64499616	64508199	DDX5	q23.3	17q	-1	1655	17q23.3	chr17q
11	118747766	118791149	DDX6	q23.3	11q	-1	1656	11q23.3	chr11q
7	55019021	55211628	EGFR	p11.2	7p	1	1956	7p11.2	chr7p
1	205597556	205631962	ELK4	q32.1	1q	-1	2005	1q32.1	chr1q
17	39687914	39730426	ERBB2	q12	17q	1	2064	17q12	chr17q
21	38380027	38661780	ERG	q22.2	21q	-1	2078	21q22.2	chr21q
22	29268009	29300525	EWSR1	q12.2	22q	1	2130	22q12.2	chr22q
1	161663147	161678654	FCGR2B	q23.3	1q	1	2213	1q23.3	chr1q
8	38411138	38468834	FGFR1	p11.23	8p	-1	2260	8p11.23	chr8p
10	121478334	121598458	FGFR2	q26.13	10q	-1	2263	10q26.13	chr10q
4	1793307	1808872	FGFR3	p16.3	4p	1	2261	4p16.3	chr4p
13	28003274	28100592	FLT3	q12.2	13q	-1	2322	13q12.2	chr13q
7	75533300	75738962	HIP1	q11.23	7q	-1	3092	7q11.23	chr7q
7	26189927	26201529	HNRNPA2B1	p15.2	7p	-1	3181	7p15.2	chr7p
7	27181510	27185223	HOXA11	p15.2	7p	-1	3207	7p15.2	chr7p
11	532242	537287	HRAS	p15.5	11p	-1	3265	11p15.5	chr11p
5	55935095	55994993	IL6ST	q11.2	5q	-1	3572	5q11.2	chr5q
1	64833229	64966504	JAK1	p31.3	1p	-1	3716	1p31.3	chr1p
9	4984390	5128183	JAK2	p24.1	9p	1	3717	9p24.1	chr9p
19	17824780	17848071	JAK3	p13.11	19p	-1	3718	19p13.11	chr19p
4	55078477	55125589	KDR	q12	4q	-1	3791	4q12	chr4q
12	25204789	25250936	KRAS	p12.1	12p	-1	3845	12p12.1	chr12p
1	32251239	32286165	LCK	p35.2	1p	1	3932	1p35.2	chr1p
10	21524675	21743630	MLLT10	p12.31	10p	1	8028	10p12.31	chr10p
8	127735434	127741434	MYC	q24.21	8q	1	4609	8q24.21	chr8q
1	114704469	114716894	NRAS	p13.2	1p	-1	4893	1p13.2	chr1p
9	36833275	37034185	PAX5	p13.2	9p	-1	5079	9p13.2	chr9p
1	164555584	164899296	PBX1	q23.3	1q	1	5087	1q23.3	chr1q
3	179148114	179240093	PIK3CA	q26.32	3q	1	5290	3q26.32	chr3q
6	37170203	37175426	PIM1	p21.2	6p	1	5292	6p21.2	chr6p
11	111352252	111455630	POU2AF1	q23.1	11q	-1	5450	11q23.1	chr11q
6	31164337	31180731	POU5F1	p21.33	6p	-1	5460	6p21.33	chr6p
1	3069168	3438621	PRDM16	p36.32	1p	1	63976	1p36.32	chr1p
9	15464066	15511019	PSIP1	p22.3	9p	-1	11168	9p22.3	chr9p
3	12583601	12664226	RAF1	p25.2	3p	-1	5894	3p25.2	chr3p
4	98261384	98443861	RAP1GDS1	q23	4q	1	5910	4q23	chr4q
6	117288300	117425855	ROS1	q22.1	6q	-1	6098	6q22.1	chr6q
17	31937018	32001045	SUZ12	q11.2	17q	1	23512	17q11.2	chr17q
14	95709967	95714196	TCL1A	q32.13	14q	-1	8115	14q32.13	chr14q
10	68560656	68694482	TET1	q21.3	10q	1	80312	10q21.3	chr10q
14	104769349	104795751	AKT1	q32.33	14q	-1	207	14q32.33	chr14q
